12218	266417	{vaginal discharge clear white=1, discharge=1, symptom=1}
18747	448985	{doctor side effect=1, panic=1, taste=2, metallic taste mouth=3, fear=1}
18747	656517	{change=1, vaginal yeast infection=1, infection=1, discharge=1}
18747	547493	{infection=1}
25659	436850	{feel=5, think=3, stagger=1, change=5, stool=2, problem=2, sleep=4, change hear=1, urine=2, abnormal growth breast=1, balance=1, hear=4, restless sleep=1, increase=1, test problem liver=1, move=1, eye=2, thing=2}
2009	414361	{feel=2, heartburn=1, hear feel thing=2, slow=1}
2009	414589	{joint=2, feel=7, twitch=1, think=6, pain leg foot=1, bruise=1, heart=1, pain hairy area=1, swell ankle hand=2, migraine headach=3, shake=1, pain=5, tumor=1, nerve pain=2, tremble=1, headach=1, feel spin=2, strong=1, swell finger hand=2, infection=1, tingle=1, pain finger toe=1, tingle hand foot=1, muscle ach pain=2, thing=1}
2009	414583	{feel=3, feel will happen=1, general ill feel=1, hear feel thing=1, thing=1, symptom=1}
5232	414277	{twitch=1}
5232	414226	{change=1}
5232	414365	{doctor side effect=1, strong=1}
5232	414314	
5232	415823	{hear=1, increase=1}
5232	415696	{feel=2}
5232	414898	{symptom=1}
5232	590515	
5232	590635	{feel=3, think=1, general ill feel=1, symptom=3}
5232	590168	
5232	590187	{think=1}
